Up to 1,1-3,3-12,1-5,Over 5,Column
month,months,months,years,years,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"20,039,335","2,624,264","4,702,332","329,577",-,"27,695,508"
"14,672,656","25,872,797","33,938,497","87,726,017","42,264,940","204,474,907"
"13,456,159","4,013,339","138,233",-,-,"17,607,731"
"15,794,170","24,602,544","46,359,169","93,959,208","83,152,951","263,868,042"
-,-,-,-,"1,345,364","1,345,364"
"803,833","84,053","439,645",-,"265,557","1,593,088"
"64,766,153","57,196,997","85,577,876","182,014,802","127,028,812","516,584,640"
"186,507,965","45,354,498","98,536,607","7,327,933","152,925","337,879,928"
"14,976,818","1,146,387","28,515",-,-,"16,151,720"
"20,263","1,069,992","11,494,774","8,569,115","140,283","21,294,427"
"11,094,337","6,402",-,-,"37,081","11,137,820"
"59,173","87,064","446,965","3,898,073","3,061,302","7,552,577"
"212,658,556","47,664,343","110,506,861","19,795,121","3,391,591","394,016,472"
"(147,892,403)","9,532,654","(24,928,985)","162,219,681","123,637,221","122,568,168"
"91,369,534","48,459,184","95,322,518","137,893,427","87,069,312","460,113,975"
"233,560,660","21,391,289","99,641,870","70,272,337","4,867,182","429,733,338"
"(142,191,126)","27,067,895","(4,319,352)","67,621,090","82,202,130","30,380,637"
