Standards,Amendments
"IAS 12 Income
Taxes","Disclosure of Interests in Other Entities – clarified that the income tax consequences of dividends
on financial instruments classified as equity should be recognised according to where the past
transactions or events that generated distributable profits were recognised. The amendments apply
to annual periods beginning on or after 1 January 2019."
"IAS 23 Borrowing
Costs","The amendments clarify that if any specific borrowing remains outstanding after the related asset is
ready for its intended use or sale, that borrowing becomes part of the funds that an entity borrows
generally when calculating the capitalisation rate on general borrowings."
"IFRS 3 Business
Combinations","IFRS 3 Business Combinations – clarified that obtaining control of a business that is a joint operation is
a business combination achieved in stages."
"IFRS 11 Joint
Arrangements","IFRS 11 Joint Arrangements – clarified that the party obtaining joint control of a business that is a joint
operation should not remeasure its previously held interest in the joint operation. All the amendments
are effective for annual periods beginning on or after 1 January 2019 and generally require prospective
application. Earlier application is permitted."
