FY' 23,FY' 22,FY' 21,YOY 23/22
27.6,22.9,20.0,20.5%
12.2,9.1,6.2,34.3%
39.7,31.9,26.2,24.4%
20.5,14.9,12.3,37.5%
19.3,16.7,14.2,15.9%
10.3,7.1,7.6,44.5%
9.0,9.5,6.6,-5.5%
7.8,6.8,4.4,14.7%
6.9,6.1,3.9,13.5%
24.60,21.68,13.98,13.5%
30.6%,28.3%,24.0%,(430bps)
51.7%,46.8%,47.0%,490bps
3.4%,2.6%,2.4%,80bps
