Metric,Risk Category,Risk Exposure 2024,Risk Exposure 2025
Oil and gas sector & coal related activities /coal dependent sectors,Transition Risk,Shs1.166 Bn.,Shs 1.619 Bn.
Coal-related Activities,,,
"Number and value of mortgage loans in flood zones, assets prone to
flooding or agricultural activities susceptible to adverse weather",Physical Risk,Shs 4.553 Bn.,Shs 5.971 Bn
"Water projects in regions of high or extremely high baseline water
stress",,,
"Property, infrastructure or alternative asset portfolios in areas
subject to flooding, heat stress or water stress",,,
