Target,2024 progress,Impact
"Diversity and Inclusion
• Target bank-wide female gender ratio
to be 50% minimum (Dec 2022-46%)
by end of 2025.
• Target EXCO female gender ratio of
40% by 2030 (Dec 2022–33%).
• Increase the number of employees
living with disability from 5 (Dec 2022)
to 12 by 2024 and 3% of total work
force before 2030.","• Group wide Female: Male ratio - 47:53.
• Group wide EXCO ratio - 23:77.
• PwD across the Group: 10.","Promoted a culture of
diversty and inclusion."
"Hold at least two ESG awareness sessions
for staff to embed a culture of
sustainability from 2023.","• DTB Kenya conducted six sustainability training
sessions reaching over 300 employees.
• DTB Tanzania trained 540 employees on the
sustainable consumption of utilities during the
sustainability week campaign.
• DTB Uganda conducted ESG awareness training for
275 staff members.","Embedded a culture of
sustainability across the
Group."
"Target 100 staff members to volunteer in
the Bank’s Corporate Social Investment
Programmes annually from 2023.","• 585 employees invested in 3,729 volunteer hours in
citizenship initatives across the Group.","Embedded a culture of
sustainability across the
Group.
Continued brand pride
and engagement among
employees."
"Conduct staff physical and mental
well-being sessions.
Conduct quarterly financial well-being
sessions.","15 physical social and financial well-being sessions,
attended by staff across the Group.","Promoting a culture of
employee well-being across
the Group."
