Target,2024 progress,Impact
"100% uptake of our enhanced supplier
code of conduct by end of 2024.","• The Board approved the enhanced
supplier code of conduct. Roll out
commenced in February 2024, with a
100% uptake for new suppliers; and
over 60% for existing contracts.","Made progress in making our supply chain
more responsible and aware about ESG
matters."
"Target 11% spend from Special Interest
Groups (Women, Youth and PwD owned
businesses) by 2030.","• Procurement spend sourced from
women-owned businesses.
DTB Kenya: 2024 – 4%
DTB Tanzania: 2024 – 2.2%",
"Hold one capacity building programme
on sustainability practices for suppliers
annually.","• Successful supplier forums held in 2024
for top 100 suppliers.",
