"22,368,833","4,272,710","4,108,801","339,458","31,089,802",-,"31,089,802"
"3,664,921","1,125,807","1,019,924","24,147","5,834,799",-,"5,834,799"
"26,033,754","5,398,517","5,128,725","363,605","36,924,601",-,"36,924,601"
-,-,-,"38,687","38,687",-,"38,687"
"(118,064)",-,"214,296",-,"96,232",-,"96,232"
"596,403",297,"20,656",42,"617,398","(617,398)",-
"26,512,093","5,398,814","5,363,677","402,334","37,676,918","(617,398)","37,059,520"
"(9,316,913)","(1,129,870)","(1,268,771)","(66,377)","(11,781,931)",-,"(11,781,931)"
"(5,431,973)","(2,428,647)","(2,319,078)","(159,862)","(10,339,560)",-,"(10,339,560)"
"(47,898)",-,-,-,"(47,898)","47,898",-
"(999,290)","(140,752)","(80,463)","(7,873)","(1,228,378)",-,"(1,228,378)"
"(1,391,504)","(269,411)","(315,477)","(28,170)","(2,004,562)",-,"(2,004,562)"
"(5,292,619)","(765,778)","(942,940)","(35,481)","(7,036,818)",-,"(7,036,818)"
"(22,480,197)","(4,734,458)","(4,926,729)","(297,763)","(32,439,147)","47,898","(32,391,249)"
"4,031,896","664,356","436,948","104,571","5,237,771","(569,500)","4,668,271"
"(830,263)","(327,020)","11,935","5,703","(1,139,645)",-,"(1,139,645)"
"3,201,633","337,336","448,883","110,274","4,098,126","(569,500)","3,528,626"
"312,491,650","63,106,751","52,877,828","3,720,238","432,196,467","(4,950,946)","427,245,521"
"258,179,803","53,877,361","43,867,695","2,378,146","358,303,005","7,206,012","365,509,017"
