"40,066,887",Column,"27,692,795"
"(17,179,790)",,"(13,321,044)"
"22,887,097","19,992,573
3,634,806
(392,866)","14,371,751"
"4,009,522",,"2,165,760"
"(79,490)",,"(61,590)"
"3,930,032","3,241,940
2,448,624
504,215","2,104,170"
"4,304,957",,"3,368,585"
"387,294",,"257,001"
"31,509,380","26,187,352
(12,325,714)
(7,513,045)","20,101,507"
"(14,940,263)",,"(8,248,648)"
"(6,711,237)",,"(4,949,087)"
"9,857,880","6,348,593
21,064
256,000","6,903,772"
"16,963",,-
"(349,910)",,"(313,326)"
"9,524,933","6,625,657
(2,212,184)","6,590,446"
"(2,731,055)",,"(2,071,252)"
"6,793,878","4,413,473","4,519,194"
,"3,908,411
505,062",
"6,061,017",,"4,519,194"
"732,861",,-
"6,793,878","4,413,473","4,519,194"
,13.98,
21.68,,
