No.,BOARD MEMBER:,DESIGNATION OF DIRECTOR:,COMMITTEES,Column,Column,Column,Column,Column
,,,BACC,BCC,BEC,BITC,BNHRC,BRMC
1,Abdul Samji,Chairman and non- executive Director,,√,√(C),,√,
2,Nasim Devji,"Managing Director and Group Chief
Executive Officer",N/A,N/A,N/A,N/A,N/A,N/A
3,Pamella Ager,Independent and non- executive Director,√,√,√,,√,√
4,Guedi Ainache,Independent and non- executive Director,,,,,,
5,Shaffiq Dharamshi,Non- executive Director,√,,,√,,√
6,Linus Gitahi,Independent and non- executive Director,√,,,,,
7,Rizwan Hyder,Non- executive Director,√,,,,,√
8,Moez Jamal,Independent and non- executive Director,,,,√(C),,√(C)
9,Irfan Keshavjee,Independent and non- executive Director,,√,√,√,√,√
10,Ismail Mawji,Independent and non- executive Director,√(C),√,√,,√,
11,Jamaludin Shamji,Independent and non- executive Director,,√(C),√,√,√(C),√
