New standard or amendments,"Effective for annual periods
beginning on or after"
IFRS 16 Leases,1 January 2019
IFRIC 23 Uncertainty over Income Tax Treatments,1 January 2019
"Amendments to IAS 19 Employee Benefits Plan Amendment,
Curtailment or Settlement",1 January 2019
"Amendments to IAS 28 Long-term Interests in Associates and
Joint Ventures",1 January 2019
"Amendments to IFRS 9 Prepayment Features with
Negative Compensation",1 January 2019
Annual improvement cycle (2015 – 2017) – various standards,1 January 2019
