GRI Standard,Disclosure,Location,Page
"GRI 2:
General
Disclosures
2021",2-1 Organizational details,About us,05
,2-2 Entities included in the organization’s sustainability reporting,About our integrated report,01
,"2-3 Reporting period, frequency and contact point",About our integrated report,01
,2-5 External assurance,About our integrated report,01
,"2-6 Activities, value chain and other business relationships",About us,05
,2-7 Employees,Human capital and culture,57
,2-8 Workers who are not employees,Human capital and culture,57
,2-9 Governance structure and composition,How we are led,77
,2-10 Nomination and selection of the highest governance body,How we are led,77
,2-11 Chair of the highest governance body,How we are led,77
,"2-12 Role of the highest governance body in overseeing the
management of impacts",How we are led,77
,2-13 Delegation of responsibility for managing impacts,How we are led,77
,2-14 Role of the highest governance body in sustainability reporting,How we are led,77
,2-15 Conflicts of interest,How we are led,77
,2-17 Collective knowledge of the highest governance body,How we are led,77
,2-18 Evaluation of the performance of the highest governance body,How we are led,77
,2-19 Remuneration policies,How we are led,77
,2-20 Process to determine remuneration,How we are led,77
,2-22 Statement on sustainable development strategy,How we create value,29
,2-23 Policy commitments,How we are led,87
,2-24 Embedding policy commitments,How we are led,87
,2-25 Processes to remediate negative impacts,How we are led,87
,2-26 Mechanisms for seeking advice and raising concerns,How we are led,87
,2-27 Compliance with laws and regulations,Risk management,91
,2-28 Membership associations,Stakeholder engagement,63
,2-29 Approach to stakeholder engagement,Stakeholder engagement,63
,2-30 Collective bargaining agreements,Human capital and culture,57
"GRI 3:
Material
Topics 2021",3-1 Process to determine material topics,Stakeholder engagement,63
,3-2 List of material topics,Stakeholder engagement,63
,3-3 Management of material topics,Stakeholder engagement,63
"GRI 201:
Economic
Performance
2016",201-1 Direct economic value generated and distributed,Financial review,23
,,Financial review,23
,"201-2 Financial implications and other risks and opportunities due
to climate change",Risk management,91
