Notes,"Revaluation
surplus","Fair value
reserve
on equity
investments","Translation
reserve","Other
reserves",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"397,279",639,"(118,664)","(40,263)","238,991"
,-,"43,988",-,-,"43,988"
,,"(44,627)",-,-,"(44,627)"
,"(6,805)",-,-,-,"(6,805)"
,"2,041",-,-,-,"2,041"
(i),-,-,"101,384",-,"101,384"
,-,-,-,"(61,214)","(61,214)"
,"392,515",-,"(17,280)","(101,477)","273,758"
,"392,515",-,"(17,280)","(101,477)","273,758"
,"(8,566)",-,-,-,"(8,566)"
,"2,570",-,-,-,"2,570"
(i),-,-,"(134,838)",-,"(134,838)"
,"386,519",-,"(152,118)","(101,477)","132,924"
