Column,Number of shareholders,Number of shares held,% Shareholding
Local Individuals,"5,371","31,637,264",13.07
Local Institutions,862,"75,051,885",31.00
Foreign Individuals,"2,173","22,676,040",9.37
Foreign Institutional,29,"97,966,850",40.46
East African Individuals,"2,736","12,981,149",5.36
East African Institutions,33,"1,796,917",0.74
Total,"11,204","242,110,105",100.00
