2020,2021,2022,2023,2024
0.100,0.069,0.073,0.081,0.080
0.107,0.074,0.078,0.087,0.086
0.093,0.064,0.068,0.076,0.075
0.092,0.090,0.089,0.093,0.093
0.095,0.094,0.092,0.097,0.097
0.088,0.086,0.085,0.089,0.089
0.090,0.090,0.090,0.090,0.090
0.095,0.095,0.095,0.095,0.095
0.085,0.085,0.085,0.085,0.085
0.079,0.128,0.121,0.121,0.120
0.086,0.140,0.132,0.133,0.131
0.072,0.116,0.109,0.110,0.109
0.051,0.073,0.100,0.100,0.100
0.060,0.085,0.116,0.117,0.117
0.043,0.061,0.083,0.083,0.083
0.044,0.041,0.035,0.032,0.037
0.041,0.038,0.032,0.029,0.034
0.047,0.044,0.037,0.034,0.039
0.118,0.118,0.118,0.118,0.118
0.115,0.115,0.115,0.115,0.115
0.121,0.121,0.121,0.121,0.121
0.061,0.060,0.065,0.065,0.065
0.057,0.056,0.060,0.060,0.060
0.065,0.065,0.070,0.070,0.070
