Column,"Leasehold
land",Buildings,"Leasehold
improvements","Motor
vehicles","Furniture
fittings &
equipment","Work in
progress",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"985,303","2,247,463","113,704","17,724","752,010","172,682","4,288,886"
,"11,236",-,-,"12,100","80,069","123,359","226,764"
,-,-,-,-,"139,804","(139,804)",-
,-,-,-,-,-,"(6,681)","(6,681)"
,-,-,-,-,(147),(598),(745)
,-,-,"(74,412)","(1,165)","(325,650)","(59,311)","(460,538)"
,-,-,"73,322","1,164","253,492",-,"327,978"
,"417,708","287,527",-,-,-,-,"705,235"
,"(18,747)","(36,348)","(47,268)","(5,957)","(359,852)",-,"(468,172)"
,"1,395,500","2,498,642","65,346","23,866","539,726","89,647","4,612,727"
,"1,395,500","2,498,642","688,152","117,700","3,735,409","89,647","8,525,050"
,-,-,"(622,806)","(93,834)","(3,195,683)",-,"(3,912,323)"
,"1,395,500","2,498,642","65,346","23,866","539,726","89,647","4,612,727"
"At 31 December 2021
Cost
Revaluation surplus
Cost or valuation",,,,,,,
,"430,251","1,914,417","688,152","117,700","3,735,409","89,647","6,975,576"
,"965,249","584,225",-,-,-,-,"1,549,474"
,"1,395,500","2,498,642","688,152","117,700","3,735,409","89,647","8,525,050"
