H1’24 Performance (KES billion),Column,Column,Column,Column
,H1 24,H1 23,FY' 23,YOY
Assets,,,,
Balances due from Central Banks,34.6,23.9,38.0,44.9%
Investment in Government Securities,189.1,211.5,201.7,-10.6%
Loans and advances to customers (net),267.9,281.2,308.5,-4.7%
Total Assets,585.5,579.2,635.0,1.1%
Liabilities,,,,
Customer Deposits,431.9,418.0,486.1,3.3%
Balances due to CBK,18.0,4.0,13.0,352.2%
Balances due to banks,20.8,42.6,12.3,-51.2%
Borrowed funds,18.1,23.2,24.0,-21.9%
Total Liabilities,501.2,496.6,548.7,0.9%
,62.0%,64.1%,63.5%,(150bps)
,56.6%,56.5%,53.5%,310bps
,13.1%,11.7%,13.0%,140bps
,17.3%,16.3%,16.1%,(10)bps
