Column,Director,Strategy,"Governance
Leadership","Financial
Services","Credit /
Treasury
/ Risk
Management","Business
Management
/ Consultancy","Accounting/
Audit/ Tax
Advisory",Legal
1,Linus Gitahi,,,,,,,
2,"Shaffiq
Dharamshi",,,,,,,
3,Nasim Devji,,,,,,,
4,Pamella Ager,,,,,,,
5,Guedi Ainache,,,,,,,
6,Moez Jamal,,,,,,,
7,Alkarim Jiwa,,,,,,,
8,Irfan Keshavjee,,,,,,,
9,Ismail Mawji,,,,,,,
10,Sagheer Mufti,,,,,,,
11,Jeremy Ngunze,,,,,,,
12,"Jamaludin
Shamji",,,,,,,
