2013,2012,2011,2010,2009
"11,149,291","9,246,386","6,826,952","4,882,762","3,519,513"
"3,349,992","3,074,041","2,744,867","2,874,831","1,548,417"
"14,499,283","12,320,427","9,571,819","7,757,593","5,067,930"
"8,133,815","7,012,595","4,896,202","4,020,853","2,225,544"
"(898,812)","(984,696)","(588,789)","(557,854)","(295,682)"
"7,235,003","6,027,899","4,307,413","3,462,999","1,929,862"
"4,756,635","3,627,766","2,656,797","2,284,824","1,250,250"
"166,520,351","135,461,412","107,765,064","83,600,177","66,679,080"
"110,945,439","87,707,243","71,297,721","51,260,068","41,518,135"
"133,506,710","109,702,558","88,131,356","68,604,930","54,954,890"
"20,950,855","16,522,162","11,593,302","8,939,503","6,998,163"
"462,210","418,190","332,596","260,859","252,708"
Shs 21.61,Shs 17.44,Shs 13.58,Shs 11.68,Shs 6.39
Shs 21.61,Shs 17.44,Shs 13.15,Shs 11.31,Shs 6.19
Shs 2.10,Shs 1.90,Shs 1.70,Shs 1.60,Shs 1.55
Shs 2.10,Shs 1.90,Shs 1.65,Shs 1.29,Shs 1.25
83.1%,80.0%,80.9%,74.7%,75.5%
1.1%,1.1%,0.9%,1.3%,1.4%
3.5%,3.3%,3.1%,3.3%,2.2%
24.4%,25.8%,25.9%,28.7%,19.4%
23.1%,25.0%,28.7%,37.1%,30.6%
98,90,76,65,53
"1,745","1,514","1,264","1,101",930
"3,051,222","1,258,974","666,208","438,509","900,646"
18.3%,16.4%,13.7%,14.7%,14.5%
17.1%,17.7%,14.2%,15.3%,15.4%
20.5%,19.8%,16.8%,18.4%,19.0%
