Up to 1,1-3,3-12,1-5,Over 5,Column
month,months,months,years,years,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"19,673,930","3,044,596","3,476,589","148,950","6,087","26,350,152"
"1,849,297","18,129,883","25,940,166","5,019,376",-,"50,938,722"
"9,940,082","1,410,756","102,147",-,-,"11,452,985"
"11,068,374","32,462,892","55,868,325","70,511,191","25,112,633","195,023,415"
-,-,"40,162","136,562",-,"176,724"
-,-,-,-,"24,077","24,077"
"1,789,827","11,430",88,-,-,"1,801,345"
"44,321,510","55,059,557","85,427,477","75,816,079","25,142,797","285,767,420"
"110,128,247","47,915,118","39,526,393","1,356,818","57,565","198,984,141"
"9,263,859","10,411","3,855","1,970",-,"9,280,095"
-,"3,550,627","11,565,391","11,254,581","1,800,645","28,171,244"
"3,701,725",71,"2,773",-,-,"3,704,569"
"123,093,831","51,476,227","51,098,412","12,613,369","1,858,210","240,140,049"
"(78,772,321)","3,583,330","34,329,065","63,202,710","23,284,587","45,627,371"
