Economic Growth (GDP),Column,Column,Column,Column
,KE,UG,TZ,BR
Q2 2023,5.5%,5.7%,4.8%,2.7%*
Q2 2024,4.6%,6.2%,5.1%,3.5%*
Q2 2025,5.0%,5.5%,6.3%,4.4%*
