Column,-,-,-,-,"(1,398,011)",Column
,-,-,-,"(1,677,613)","1,677,613",
"Total transactions with owners, recognised directly in equity",-,-,-,"(1,677,613)","279,602","(1,398,011)"
At end of year,"1,118,409","9,006,569","(6,973,995)","51,864,184","1,677,613","56,692,780"
