Column,"2,505,185","(2,505,185)",-,Column
,"(4,088,685)","4,102,263","(13,578)",
,"(211,584)","(8,139,958)","8,351,542",
,"60,446,025","17,645,216","8,357,326",
,"(57,848,830)","(19,026,942)","(19,898,000)",
,-,-,"(7,630,304)",
,"4,500,227","(5,731,739)","6,991,410",
Gross carrying amount as at 31 December 2024,"128,798,940","51,224,383","33,712,650","213,735,973"
,"744,058","1,799,068","13,515,858",
Net carrying Amount as at 31 December 2024,"128,054,882","49,425,315","20,196,792","197,676,989"
