Group,Column,Column,Column,Column,Kenya,Column,Column,Column
Mvt,"FY
2021","Q3
2021","Q3
2022",,"FY
2021","Q3
2021","Q3
2022",Mvt
14.1%,20.0,14.7,16.8,Net Interest Income,12.7,9.5,10.7,12.9%
43.5%,6.3,4.8,6.9,Total Non- Interest Income,4.1,3.2,4.2,31.1%
21.3%,26.3,19.5,23.7,Gross Operating Income,16.8,12.6,14.9,17.5%
18.4%,12.3,9.0,10.7,Operating Expenses,6.6,4.9,5.8,17.8%
23.8%,14.2,10.5,13.0,"Operating Profit Before
Provisions",10.5,7.8,9.1,17.3%
24.7%,7.6,3.1,3.8,Loan Loss Provision,5.8,1.8,2.3,29.9%
22.0%,6.6,7.4,9.1,Profit Before Tax (PBT),4.7,6.0,6.8,13.5%
22.9%,4.4,5.2,6.4,Profit After Tax (PAT),3.0,4.1,4.6,13.8%
