Column,At 31 December 2006,"Up to 1
month","1-3
months","3-12
months","1-5
years","Over 5
years",Total
,,"635,776
599,630
1,525,615
1,245,496
-
-
-
-
677,109","277,909
447,701
-
1,865,586
-
-
-
-
9,713","246,789
2,689,964
-
6,059,817
-
-
-
-
68,020","3,911
99,424
-
4,536,216
-
-
-
59,226
7,453","585
-
-
125,641
252,757
252,813
46,235
-
4,005",
,,"4,683,626","2,600,909","9,064,590","4,706,230","682,036",
,,"7,559,005
226,403
-
-
1,375,096
-","4,813,032
-
-
-
2,896
-","4,276,097
-
35,491
-
3,668
-","67,799
-
-
209,978
2,682
-","10,126
-
-
285,940
1,088
2,868,090",
,,"9,160,504","4,815,928","4,315,256","280,459","3,165,244",
,,"(4,476,878)","(2,215,019)","4,749,334","4,425,771","(2,483,208)",
At 31 December 2005,,,,,,,
,,"4,205,008
6,481,635","2,600,335
4,854,614","5,073,224
3,056,377","3,879,440
53,134","626,415
1,938,662",
,,"(2,276,627)","(2,254,279)","2,016,847","3,826,306","(1,312,247)",
