GROUP,Column,BANK,Column
"Sep. 2013 Jun. 2013 Mar. 2013 Dec. 2012 Sep. 2012
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",,"Sep. 2013 Jun. 2013 Mar. 2013 Dec. 2012 Sep. 2012
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",
"2,876,892
10,479,682
-
19,635,238
6,574,161
-
108,381
1,639,822
6,615,781
190,602
102,235,592
-
7,847
-
-
-
3,764,253
-
141,504
173,372
1,004,751
-
3,828,745","2,465,410 2,864,139 2,614,455 2,009,234
9,101,998 9,488,487 8,894,406 9,703,175
- - - -
1 5,143,898 14,035,449 1 8,402,894 16,084,235
5,406,725 4,811,448 4,341,616 2,853,312
- - - 441,180
83,517 76,504 64,391 52,278
2,397,706 3,790,268 3,842,366 2,927,634
5,123,906 6,252,559 3,880,386 5,129,963
208,706 16,105 7,432 21,077
9 4,816,302 90,850,922 8 7,707,243 85,524,765
- - - -
7,294 9 ,026 5,938 3,691
- - - -
- - - -
- - - -
3,738,051 2,938,029 2,770,067 2,687,670
- - - -
162,632 185,388 214,405 233,824
173,372 173,372 173,372 173,372
1,005,561 672,055 672,958 460,035
- - - -
2,878,723 2,509,025 1,869,483 1,467,864","1,770,907
5,057,630
-
19,635,238
-
-
108,381
1,639,822
2,212,755
173,068
70,788,104
434,267
1
2,295,253
-
-
2,488,506
-
114,294
-
876,206
-
3,068,536","1,446,197 1,627,138 1,671,539 1,185,908
4,490,948 5,025,445 3,676,771 4,229,614
- - - -
15,143,898 14,035,449 18,402,894 16,084,235
- - -
- - - 441,180
83,517 76,504 64,391 52,278
2,397,706 3,790,268 3,842,366 2,927,634
1,007,361 2,200,580 562,310 1,554,625
171,650 - - -
65,330,499 62,758,424 59,930,459 60,346,472
429,308 431,031 431,118 430,895
1 1 1 1
2,295,253 2,295,253 1,897,571 1,273,794
- - - -
- - - -
2,520,667 1,793,884 1,785,430 1,751,214
- - - -
135,727 156,277 178,389 193,668
- - - -
876,206 542,541 542,542 420,232
- - - -
2,247,274 1,945,244 1,526,037 1,000,071"
"159,276,623","1 42,713,801 138,672,776 1 35,461,412 129,773,309","110,662,968","98,576,212 96,678,039 94,511,818 91,891,821"
"121,117,241
5,950,888
1,468,791
-
5,299,941
-
23,772
-
-
-
3,069,867","- - - -
1 13,064,440 107,366,356 1 06,975,254 102,341,365
532,768 2,361,863 486,132 1,981,089
1,514,689 1,439,191 2,241,172 1,132,505
- - - -
3,530,725 3,782,092 3,807,801 3,872,176
- - - -
- 948,925 456,716 246,048
- - - -
- - - 2,943
- - - -
3,083,601 2,888,539 2,867,416 2,666,660","78,770,759
5,950,888
1,047,280
-
5,268,660
-
-
-
-
-
2,048,917","- - -
75,183,754 70,934,271 72,505,118 69,631,591
532,768 2,361,863 486,132 1,981,089
516,617 822,491 516,262 404,011
- - - -
3,492,935 3,743,150 3,746,320 3,808,714
- - - -
- 901,005 443,795 185,859
- - - -
- - - -
- - - -
2,220,261 2,175,492 1,935,699 1,882,792"
"136,930,500","1 21,726,223 118,786,966 1 16,834,491 112,242,786","93,086,504","81,946,335 80,938,272 79,633,326 77,894,056"
"880,400
3,856,898
297,715
14,680,441
-
-
-","880,400 880,400 880,400 880,400
3,856,898 3,856,898 3,856,898 3,856,898
199,147 186,641 238,991 340,744
1 3,581,383 12,159,020 1 1,012,392 10,384,854
- - 115,291 115,291
- 418,190 418,190 -
- - - -","880,400
3,856,898
422,070
12,417,096
-
-
-",
"19,715,454","1 8,517,828 17,501,149 1 6,522,162 15,578,187","17,576,464","16,629,877 15,739,767 14,878,492 13,997,765"
"2,630,669","2,469,750 2,384,661 2,104,759 1,952,336",-,- - - -
"22,346,123","2 0,987,578 19,885,810 1 8,626,921 17,530,523","17,576,464","16,629,877 15,739,767 14,878,492 13,997,765"
"159,276,623","1 42,713,801 138,672,776 1 35,461,412 129,773,309","110,662,968","98,576,212 96,678,039 94,511,818 91,891,821"
