Column,2025 Performance,Column,Column,"Mapping to
Material Topic"
,Kenya,Uganda,Tanzania,
"Target bank-wide female gender ratio to be 50% minimum by
end of 2025.",47% Female,58% Female,49% Female,Talent Strategy
,Thus achieving a Group gender ratio of 50:50,,,
Target ExCo female gender ratio of 40% by 2030,35%,18%,23%,
"Increase number of employees living with disability to 3% of
total workforce by 2030","As of 2025, 11 employees living with disability form part of the
Group’s total workforce.",,,
Employee Retention Rate,93%,90%,85%,
"The cumulative number of training hours provided to all
employees within the organisation","81,950 hours","20,371 hours","12,250 hours",
The average training hours per employee in the organisation,39 hours on average across the Group with a breakdown as below:,,,
,50.15 hours,30.18 hours,19 hours,
"Hold at least two ESG awareness sessions for staff to embed a
culture of sustainability from 2023.","The Group held at least 3 ESG awareness sessions for staff across all
operating countries, including sessions on the Kenya Green Finance
Taxonomy and the Climate Risk Disclosure Framework. To promote
Group knowledge sharing, key department representatives from
across the Group attended these sessions.
Particularly in Kenya, the Bank held the following ESG awareness
sessions:
• A sustainability refresher training for 97 sustainability
champions within the Bank.
• Solar financing training conducted with Branch and Customer
Experience Staff, registering an attendance of over 430
participants.
• 10 sessions on health, physical and financial wellbeing
conducted with an attendance of over 1,000 staff.",,,ESG
