Column,"2,778,859","(2,645,157)","(133,702)",Column
,"(24,273,420)","12,501,806","11,771,614",
,"(322,784)","(665,201)","987,985",
,"64,113,125","21,026,038","(1,161,134)",
,"(20,911,189)","(42,749,479)","2,307,193",
,-,-,"(4,656,558)",
,"84,278","14,162,769","1,344,349",
Gross carrying amount as at 31 December 2023,"123,496,602","64,880,728","37,554,254","225,931,584"
,"706,588","1,993,004","14,967,655",
Net carrying Amount as at 31 December 2023,"122,790,014","62,887,724","22,586,599","208,264,337"
