"Share
capital","Share
premium","Other
reserves","Retained
earnings","Proposed
dividend",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,118,409","9,006,569","1,328,408","35,532,486","726,966","47,712,838"
-,-,-,"(364,916)",-,"(364,916)"
"1,118,409","9,006,569","1,328,408","35,167,570","726,966","47,347,922"
-,-,-,"5,714,991",-,"5,714,991"
-,-,"(334,569)",-,-,"(334,569)"
-,-,"(30,408)","30,408",-,-
-,-,"1,520","(1,520)",-,-
-,-,"(363,457)","5,743,879",-,"5,380,422"
-,-,-,-,"(726,966)","(726,966)"
-,-,-,"(754,926)","754,926",-
-,-,-,"(754,926)","27,960","(726,966)"
"1,118,409","9,006,569","964,951","40,156,523","754,926","52,001,378"
