"Share
capital","Share
premium",Other reserves,"Retained
earnings","Proposed
dividend",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,118,409","9,006,569","964,951","40,156,523","754,926","52,001,378"
-,-,-,"3,045,940",-,"3,045,940"
-,-,"(260,478)",-,-,"(260,478)"
-,-,"(30,408)","30,408",-,-
-,-,"1,520","(1,520)",-,-
-,-,"(289,366)","3,074,828",-,"2,785,462"
-,-,-,-,"(754,926)","(754,926)"
-,-,-,-,-,-
-,-,-,-,"(754,926)","(754,926)"
"1,118,409","9,006,569","675,585","43,231,351",-,"54,031,914"
