Standard/ Interpretation,Effective date
"Sale or Contribution of Assets between an Investor and its Associate or
Company (Amendments to IFRS 10 and IAS 28)","Available for optional
adoption/effective
date deferred
indefinitely"
Lease liability in a sale and leaseback - Amendments to IFRS 16,1 January 2024
"Deferred Tax related to Assets and Liabilities arising from a Single Transaction
(Amendments to IAS12)",1 January 2023
"Disclosure of Accounting Policies (Amendments to IAS 1 and IFRS Practice
Statement 2)",1 January 2023
Definition of Accounting Estimates (Amendments to IAS 8),1 January 2023
Classification of Liabilities as Current or Non-current,1 January 2024
IFRS 17 Insurance Contracts and amendments to IFRS 17 Insurance Contracts,1 January 2023
