Column,"Leasehold
land",Buildings,"Leasehold
improvements","Motor
Vehicles","Furniture
fittings &
equipment","Work in
Progress",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"1,008,308","2,433,196","448,826","41,185","1,666,354","839,061","6,436,930"
,181,"6,165","15,769",671,"27,097","28,455","78,338"
,"11,236","17,949","11,856","12,100","261,582","458,622","773,345"
,-,"640,240","8,232",-,"247,284","(895,756)",-
,-,-,-,-,-,"(94,733)","(94,733)"
,-,-,-,-,(147),(598),(745)
,-,-,"(82,305)","(1,183)","(346,203)","(59,311)","(489,002)"
,-,-,"75,556","1,164","273,290",-,"350,010"
,"443,018","377,854",-,-,-,-,"820,872"
,"(18,747)","(48,533)","(122,052)","(18,318)","(832,018)",-,"(1,039,668)"
,"1,443,996","3,426,871","355,882","35,619","1,297,239","275,740","6,835,347"
,"1,443,996","3,426,871","1,862,752","229,183","7,084,212","275,740","14,322,754"
,-,-,"(1,506,870)","(193,564)","(5,786,973)",-,"(7,487,407)"
,"1,443,996","3,426,871","355,882","35,619","1,297,239","275,740","6,835,347"
"At 31 December 2021
Cost
Revaluation surplus
Cost or valuation",,,,,,,
,"432,315","2,059,348","1,862,752","229,183","7,084,212","275,740","11,943,550"
,"1,011,681","1,367,523",-,-,-,-,"2,379,204"
,"1,443,996","3,426,871","1,862,752","229,183","7,084,212","275,740","14,322,754"
