"2004 2003
Shs'OOO Shs '000
712,265 569,077
(174,401) (137,921)"
"537,864 431,156
178,424 104,824
59,888 37,592
(7,838) 50,993"
"768,338 624,565
(542,038) (402,344)
(35,542) (44,764)"
"190,758 177,457
49,477 26,649"
"240,235 204,106
(76,237) (64,865)"
"163,998 139,241"
"69,563 69,563"
1.65 1.53
0.70 0.70
