Column,Column,E,ETHICS AND SOCIAL RESPONSIBILITY,Column,Column,Column,Column
48,A or E,E.1,"Does the Board ensure that all deliberations, decisions and
actions are founded on the core values (responsibility,
accountability, fairness and transparency) underpinning
good governance and sustainability?",5.1.1,"Fully
Applied",Yes.,"Anti- Bribery and Anti- Corruption Policy;
Corporate Governance Policy;
Code of Conduct and Ethics;
Policy on Related Party Transactions."
49,M,E.2,"Has the Board developed a Code of Ethics and Conduct
(which includes sustainability) and has it worked to ensure
its application by all Directors, management and
employees?","2.6.1, 5.2.2,
5.2.3, 5.2.4","Fully
Applied",Yes.,"Code of Ethics and Conduct applicable to all
Directors, management and employees."
50,A or E,E.3,"How does the Board ensure that compliance with the
Code of Ethics and Conduct is integrated into company
operations?",5.2.3,"Fully
Applied","The Code of Ethics and Conduct is availed to all new
Directors on induction and to all staff on the intranet. All
new Directors and staff are required to undertake to
comply with inter alia the Code of Ethics and Conduct as
part of their on-boarding.","Code of Ethics and Conduct;
Corporate Governance Policy"
51,A or E,E.4,"Does the Board incorporate ethical and sustainability risks
and opportunities in the risk management process?",5.2.1,"Fully
Applied",Yes.,"Code of Ethics and Conduct;
Enterprise Risk Management Framework,
Social and Environmental Management Plan."
52,A or E,E.5,"How is the Company performance on ethics assessed,
monitored and disclosed to internal and external
stakeholders?","5.2.4, 5.2.5","Fully
Applied","Through an annual Governance Audit by a competent,
recognised professional accredited for that purpose by
the ICPSK.","Governance Audit Report;
This is disclosed in the Integrated Report on page 40."
53,A or E,E.6,"Has the Company established and implemented a whistle
blowing policy?",5.2.5,"Fully
Applied",Yes.,Whistle Blowing Policy.
54,A or E,E.7,"Has the Board/or management developed policies on
corporate citizenship and sustainability and strategies for
company use?","5.3.1, 5.4","Fully
Applied",Yes.,"Corporate Citizenship Policy;
Corporate Social Responsibility Policy; and
Social and Environmental Management Policy."
55,M,E.8,"Does the Board consider not only the financial
performance but also the impact of the Company’s
operations on society and the environment?","5.3.2, 5.3.3","Fully
Applied",Yes.,"Corporate Citizenship Policy;
Corporate Social Responsibility Policy; and
Social and Environmental Management Policy."
56,A or E,E.9,"Does the Board monitor and report activities leading to
good corporate citizenship and sustainability to
demonstrate they are well coordinated?",5.4.1,"Fully
Applied",Yes.,"Corporate Citizenship Policy;
Social and Environmental Management Policy
This has also been disclosed in the Integrated Report
on pages 65 - 74 under the Sustainability Review."
,,F,"ACCOUNTABILITY, RISK MANAGEMENT AND INTERNAL CONTROL",,,,
57,M,F.1,"Does the Audit Committee and the Board consider and
review the financial statements for integrity of the process
and for truthful and factual presentation?","6.1, 6.1.1a","Fully
Applied",Yes.,"BACC ToR;
There are records confirming the same."
58,M,F.2,"Does the Annual Report contain a statement from the
Board explaining its responsibility for preparing the
accounts and is there a statement by the external auditor
about his/her reporting responsibilities?",6.1.2,"Fully
Applied",Yes.,"This is disclosed in the Integrated Report on page 99
and pages 102 - 103."
