"3,035,005","2,591,945","190,907","22,651,861"
"1,611,841","1,385,862","52,283","11,744,676"
"80,364","77,971",337,"232,253"
"4,727,210","4,055,778","243,527","34,628,790"
"1,445,604","1,388,843","27,788","13,497,804"
"15,139","12,286","9,479","490,587"
"1,460,743","1,401,129","37,267","13,988,391"
"3,266,467","2,654,649","206,260","20,640,399"
"710,787","626,171","19,163","3,258,254"
"321,248","234,353","1,990","1,596,970"
"1,285","11,573",664,"270,106"
"1,033,320","872,097","21,817","5,125,330"
