Name of Director,BOARD,BNHRC,BEC,BCC,BRMC,BACC,BITC,EGM,AGM
Abdul Samji,5/5,4/4,4/4,4/4,-,-,-,1/1,1/1
Nasim Devji,5/5,-,-,-,-,-,-,1/1,1/1
Pamella Ager,5/5,1/1**,4/4,4/4,4/4,-,-,1/1,1/1
Moez Jamal,5/5,-,-,-,4/4,-,4/4,1/1,1/1
Nizar Juma,3/5***,-,-,-,-,-,-,1/1,1/1
Irfan Keshavjee,5/5,4/4,4/4,4/4,2/2**,4/4,4/4,1/1,1/1
Zakir Mahmood,5/5,-,-,-,3/4***,4/4,-,1/1,1/1
Ismail Mawji,2/2*,1/1*,1/1*,1/1*,-,2/2*,-,-,-
Amin Merali,5/5,1/4***,1/4***,1/4***,-,4/4,-,0/1***,1/1
Mwaghazi Mwachofi,5/5,-,-,-,4/4,4/4,-,1/1,1/1
Jamaludin Shamji,5/5,4/4,4/4,4/4,4/4,-,4/4,1/1,1/1
