Column,Column,B,BOARD OPERATIONS and CONTROL,Column,Column,Column,Column
8,M,B.1,"Has the Board established a Nomination Committee
comprised mainly of independent and non-executive Board
members?","2.1.2, 2.2.2","Fully
Applied","BNHRC in place. Three of the current four members
thereof are independent and non-executive. The fourth
member is also a non- executive director.","BNHRC Terms of Reference (""ToR"")."
9,M,B.2,"Is the Chairperson of the Nomination Committee an
independent director?",2.2.3,"Fully
Applied",Yes.,"BNHRC ToR;
This has been disclosed in the Governance Report
within the Integrated Report."
10,M,B.3,"Has the Board adopted and published procedures for
nomination and appointment of new Board members?","2.1.1, 2.1.7","Fully
Applied",Yes.,"BNHRC ToR;
Board Appointment and Diversity Policy."
11,M,B.4,"Is the Board size adequate for the exercise of the
company business?",2.1.4,"Fully
Applied","Yes. There are currently eleven directors who are within
the limits prescribed by the Company's Articles of
Association, Board Charter and the Appointment and
Diversity Policy.","Articles of Association;
Board Charter;
Board Appointment and Diversity Policy."
12,A or E,B.5,"Has the Board adopted a policy to ensure the achievement
of diversity including age, race and gender in its
composition?","2.1.2, 2.1.3,
2.1.5, 2.5.1","Fully
Applied",Yes.,Board Appointment and Diversity Policy.
13,M,B.6,"Do the Board members represent a mix of skills,
experience, business knowledge and independence to
enable the discharge of their duties?",2.2.1,"Fully
Applied",Yes.,"This has been disclosed in the Director Profiles
within the Integrated Report on pages 10 - 11 and
page 27."
14,M,B.7,"Has the Board adopted and applied a policy limiting the
number of Board positions each Board member may hold
at any one time?",2.1.6,"Fully
Applied",Yes.,"Board Charter;
Corporate Governance Policy."
15,M,B.8,"Have any Alternate Board members been appointed? If so,
have the Alternate Director/s been appointed according to
regulation and Code requirements?","2.1.6, 2.1.7","Fully
Applied",There are no alternate Directors appointed.,Annual Returns as filed at the Companies Registry
16,M,B.9,"Are independent Directors at least one-third of the total
number of Board members?","1.1.2, 2.1.3,
2.4.1","Fully
Applied","Yes. Five of the eleven directors are independent and non-
executive directors.","This has been disclosed in the Governance Report
within the Integrated Report on page 27."
17,A or E,B.10,"Does the Board have policies and procedures to annually
assess the independence of independent Board members?",2.4.1,"Fully
Applied","Yes. This is contained in the Board Appointment and
Diversity Policy and is evaluated annually by the BNHRC
and the findings then tabled to the Board.","Board Appointment and Diversity Policy;
Board Charter."
18,M,B.11,"Do all independent Board members have a tenure of less
than 9 years?",2.4.2,"Fully
Applied","Yes. This is contained in the Board Appointment and
Diversity Policy and is evaluated annually.","Board Appointment and Diversity Policy;
Board Charter"
19,M,B.12,"Is the Board comprised of a majority of non-executive
board members?",2.1.3,"Fully
Applied","Yes. nine of the eleven directors are Non-Executive
Directors.","This has been disclosed in the Governance Report
within the Integrated Report on page 27."
20,M,B.13,"How does the Board ensure a smooth transition of Board
members?",2.1.8,"Fully
Applied","By ensuring an adequate composition of the Board and
that no more than one-third of the Board members shall
retire at the same time at the Annual General Meeting.","Articles of Association;
Board Appointment and Diversity Policy;
Board Charter;
Corporate Governance Policy."
