Standard/ Interpretation,Effective date
"Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28)",To be determined
Definition of a Business (Amendments to IFRS 3),1 January 2020
Definition of Material (Amendments IAS 1 and IAS 8),1 January 2020
"Interest rate benchmark reform (Amendments to IFRS 9, IAS 39 and IFRS 7)",1 January 2020
IFRS 17 Insurance Contracts (issued in May 2017),1 January 2022
