Column,Land,Buildings,"Leasehold
improvements","Motor
Vehicles","Furniture
fittings &
equipment","Work in
Progress",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"48,496","3,099,504","355,882","35,619","1,297,239","275,740","5,112,480"
,,"79,794","17,316",599,"47,564","14,683","162,752"
,"2,796","185,459","10,883",302,"560,358","1,017,395","1,774,397"
,-,"18,283","37,397","23,003","754,877","(833,560)",-
,-,-,-,-,"(1,480)","(66,207)","(67,687)"
,-,-,"(59,979)","(8,313)","(21,863)",-,"(90,155)"
,-,-,"48,882","7,451","17,575",-,"73,908"
,-,"95,186",-,-,-,-,"95,186"
,-,"(86,862)","(100,207)","(19,088)","(632,960)",-,"(839,117)"
,"51,292","3,391,364","310,174","39,573","2,021,310","408,051","6,221,764"
,"51,292","3,472,839","1,921,692","252,958","8,497,465","408,051","14,604,297"
,-,"(81,475)","(1,611,518)","(213,385)","(6,476,155)",-,"(8,382,533)"
,"51,292","3,391,364","310,174","39,573","2,021,310","408,051","6,221,764"
"Cost
Revaluation surplus
Cost or valuation","2,064","2,243,081","1,921,692","252,958","8,497,465","408,051","13,325,311"
,"49,228","1,229,758",-,-,-,-,"1,278,986"
,"51,292","3,472,839","1,921,692","252,958","8,497,465","408,051","14,604,297"
