#,Board Member,Designation,"Meetings Attendance Record
(1 January 2020 to 31 December 2020)",Column,Column,Column,Column,Column,Column,Column
,,,AGM,BACC,BCC,BITC,BNHRC,BOC,BRMC,Board
1,"Linus Gitahi
Last elected in
May 2019","Chairman
(Independent)",1/1,-,-,-,-,-,-,5/5
2,"Shaffiq Dharamshi
Last elected in
May 2017",Vice Chairman,1/1,-,4/5,-,3/4,3/4,4/5,4/5
3,Nasim Devji,"Managing Director
(Executive)",1/1,-,-,-,-,4/4,-,5/5
4,Alkarim Jiwa,"Finance Director
(Executive)",1/1,-,-,-,-,4/4,-,5/5
5,"Pamella Ager
Last re-elected in
May 2017","Non- Executive
Director (Independent)",1/1,4/4,5/5,-,4/4,-,1/1,5/5
6,"Guedi Ainache
Last re-elected in
May 2019","Non- Executive
Director (Independent)",1/1,4/4,-,4/4,-,4/4,5/5,5/5
7,"Moez Jamal
Last re-elected in
May 2018","Non- Executive
Director",1/1,-,-,4/4,-,3/4,4/5,4/5
8,"Irfan Keshavjee
Last re-elected in
May 2017","Non- Executive
Director (Independent)",1/1,4/4,5/5,4/4,4/4,-,1/1,5/5
9,"Ismail Mawji
Last re-elected in
May 2019","Non- Executive
Director (Independent)",1/1,4/4,5/5,-,4/4,4/4,-,5/5
10,Sagheer Mufti*,"Non- Executive
Director",1/1,2/3,-,3/3,-,1/1,-,5/5
11,"Jamaludin Shamji
Last re-elected in
May 2018","Non- Executive
Director",1/1,-,5/5,4/4,4/4,4/4,5/5,5/5
