GROUP,Column,Column,BANK,Column
"Jun. 2016
Shs 000
Unaudited
12,329,511
4,175,876
224,414
-","Mar. 2016 Dec. 2015 Jun. 2015
Shs 000 Shs 000 Shs 000
Unaudited Audited Unaudited
6,199,905 21,347,025 9,593,514
1,864,315 4,213,348 2,000,017
127,348 264,806 117,494
- -",,"Jun. 2016
Shs 000
Unaudited
8,967,109
3,087,658
171,861
3,632","Mar. 2016 Dec. 2015 Jun. 2015
Shs 000 Shs 000 Shs 000
Unaudited Audited Unaudited
4,481,683 15,264,261 6,804,606
1,327,853 2,573,450 1,190,963
103,515 186,779 83,264
1,857 8,687 4,432"
"16,729,801","8,191,568 25,825,179 11,711,025",,"12,230,260","5,914,908 18,033,177 8 ,083,265"
"6,478,444
211,050
472,244","3,268,853 9,674,934 4,462,948
100,807 222,914 80,766
244,452 737,124 299,773",,"4,824,116
150,904
407,273","2,423,834 6,674,287 3,000,822
64,526 122,012 49,419
207,570 579,686 225,720"
"7,161,738","3,614,112 10,634,972 4,843,487",,"5,382,293","2 ,695,930 7 ,375,985 3 ,275,961"
"9,568,063","4,577,456 15,190,207 6,867,538",,"6,847,967","3,218,978 10,657,192 4 ,807,304"
"536,879
976,294
895,683
-
100,648","269,032 993,053 469,931
482,898 1,780,830 837,911
389,714 1,763,096 960,562
- - -
38,868 1 88,847 100,130",,"347,938
448,849
657,106
58,076
59,041","169,769 598,773 295,277
210,506 818,936 366,754
267,480 1,060,551 588,606
- 3 3,300 3 3,301
17,381 1 08,079 4 8,845"
"2,509,504","1,180,512 4 ,725,826 2,368,534",,"1,571,010","665,136 2 ,619,639 1 ,332,783"
"12,077,567","5,757,968 19,916,033 9,236,072",,"8,418,977","3,884,114 13,276,831 6 ,140,087"
"2,190,674
1,779,367
57,903
315,192
418,292
123,085
1,936,277","886,405 2 ,178,175 626,616
959,984 3 ,261,135 1,577,593
27,408 9 8,882 45,589
165,065 5 42,940 262,765
204,736 7 72,335 376,168
60,058 2 13,844 111,046
983,358 3 ,282,087 1,569,818",,"1,496,281
1,055,029
32,950
143,765
248,793
81,326
1,044,698","631,861 1 ,556,902 3 98,671
583,256 1 ,974,328 9 15,373
14,822 5 6,257 2 6,219
78,914 2 61,308 1 29,974
121,809 4 65,384 2 24,629
40,293 1 42,659 7 4,660
535,537 1 ,765,186 9 22,924"
"6,820,790","3,287,014 10,349,398 4,569,595",,"4,102,842","2,006,492 6 ,222,024 2 ,692,450"
"5,256,777
-","2,470,954 9 ,566,635 4,666,477
- - -",,"4,316,135
-","1,877,622 7 ,054,807 3 ,447,637
- - -"
"5,256,777
3,158","2,470,954 9 ,566,635 4,666,477
2,700 (1,443) 3,328",,"4,316,135
-","1,877,622 7 ,054,807 3 ,447,637
- - -"
"5,259,935
(2,066,792)
428,726","2,473,654 9 ,565,192 4,669,805
(865,182) (3,470,859) (1,530,046)
- 5 05,473 114,717",,"4,316,135
(1,776,671)
428,726","1,877,622 7 ,054,807 3 ,447,637
(657,168) (2,637,978) (1,238,262)
- 3 76,022 1 23,845"
"3,621,869","1,608,472 6 ,599,806 3,254,476",,"2,968,190","1,220,454 4 ,792,851 2 ,333,220"
"244,411","134,961 6 87,724 314,036",,-,- - -
"3,377,458","1,473,511 5 ,912,082 2,940,440",,"2,968,190","1,220,454 4 ,792,851 2 ,333,220"
"(417,559)
-
-
-
-","(461,607) (163,375) (449,739)
- - -
- - -
- - -
- - -",,"-
-
-
-
-","- - -
- - -
- - -
- - -
- - -"
"(417,559)","(461,607) (163,375) (449,739)",,-,- - -
"3,204,310","1,146,865","6 ,436,431 2,804,737","2,968,190","1,220,454 4 ,792,851 2 ,333,220"
"13.95
-","6.09 24.42 13.95
- 2.50 -",,"12.26
-","5.04 19.80 9.64
- 2.50 -"
