"Up to 1
month","1-3
months","3-12
months","1-5
years","Over 5
years",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"10,501,674","2,133,062","2,995,606","172,855",-,"15,803,197"
"13,003,096","23,049,222","11,343,549","67,727,273","27,238,555","142,361,695"
"4,644,805",-,-,-,-,"4,644,805"
"19,635,056","19,216,079","26,355,240","72,935,985","64,308,850","202,451,210"
"939,002","117,853","223,580",-,-,"1,280,435"
-,-,-,-,"50,000","50,000"
"48,723,633","44,516,216","40,917,975","140,836,113","91,597,405","368,591,342"
"135,822,657","49,605,123","68,345,366","779,504",-,"254,552,650"
"16,279,665","4,758,369","1,226,777",-,-,"22,264,811"
"3,746,878","1,354,561","2,295,776","19,882,744","34,535","27,314,494"
"37,900","54,134","272,001","1,713,394","2,715,211","4,792,640"
"2,777,607",-,-,-,-,"2,777,607"
"158,664,707","55,772,187","72,139,920","22,375,642","2,749,746","311,702,202"
"(109,941,074)","(11,255,971)","(31,221,945)","118,460,471","88,847,659","54,889,140"
,"39,404,520
41,026,487","44,948,500
86,669,320","133,530,588
10,724,257","111,902,382
1,840,496",
,"(1,621,967)","(41,720,820)","122,806,331","110,061,886",
