H1' 24,H1' 23,FY' 23,YOY
14.2,13.1,27.6,8.3%
6.4,5.5,12.2,15.1%
20.6,18.6,39.7,10.3%
10.6,9.4,20.5,12.4%
10.0,9.2,19.3,8.2%
3.6,3.2,10.3,11.1%
6.3,6.0,9.0,4.3%
4.9,4.4,7.8,11.5%
4.4,4.0,6.9,8.5%
15.5,14.3,24.60,120bps
5.8%,5.5%,5.8%,30bps
51.6%,50.6%,51.7%,100bps
2.5%,2.4%,3.4%,10bps
