Name,2024,Column,Column,2023,Column,Column
,Fees,"Sitting
Allowance",Total,Fees,"Sitting
Allowance",Total
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
,"8,275","4,572","12,847","5,362","2,250",
,Waived,Waived,Waived,Waived,Waived,
,"2,670","2,140","4,810","1,440","1,830",
,"3,120","2,200","5,320","1,440","1,320",
,"3,126","4,876","8,002",-,-,
,"2,520",960,"3,480","1,440",780,
,"2,520","2,400","4,920","1,440","1,860",
,"2,040","1,480","3,520","1,440","1,500",
,"3,120","1,840","4,960","1,440","1,845",
,"3,120","2,700","5,820","1,440","2,250",
,-,-,-,"1,440","1,380",
,"30,511","23,168","53,679","16,882","15,015","31,897"
