"Share
capital","Share
premium","Statutory
loan loss
reserve","Other
reserves","Retained
earnings","Proposed
dividend","Attributable
to equity holders
of the Bank","Non
controlling
Interests",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,118,409","9,006,569","1,357,750","249,934","35,626,590","726,966","48,086,218","5,281,926","53,368,144"
-,-,-,-,"6,686,612",-,"6,686,612","395,503","7,082,115"
-,-,-,"(403,142)",-,-,"(403,142)","(189,041)","(592,183)"
-,-,-,"(32,381)","32,381",-,-,-,-
-,-,-,"1,520","(1,520)",-,-,-,-
-,-,"(466,982)",-,"466,982",-,-,-,-
-,-,-,"13,446","(13,446)",-,-,-,-
-,-,"(466,982)","(420,557)","7,171,009",-,"6,283,470","206,462","6,489,932"
-,-,-,"14,328",-,-,"14,328","(166,624)","(152,296)"
-,-,-,-,-,"(726,966)","(726,966)","(39,565)","(766,531)"
-,-,-,-,"(726,966)","726,966",-,-,-
-,-,-,"14,328","(726,966)",-,"(712,638)","(206,189)","(918,827)"
"1,118,409","9,006,569","890,768","(156,295)","42,070,633","726,966","53,657,050","5,282,199","58,939,249"
