Name of Director,Board Meetings,Column,Column,Column,Column,Column,Column,Column,Column
,"2 March
2006","25 May
2006","28 July
2006","3 October
2006","27 October
2006","9 November
2006","24 November
2006","27 December
2006","Total
attendance"
Mahmood Manji,√,√,√,√,√,√,√,√,8 out of 8
Nasim Devji,√,√,√,√,√,√,√,√,8 out of 8
Amin Merali,√,√,√,√,√,x,√,x,6 out of 8
Jack Kisa,√,√,√,√,√,√,√,√,8 out of 8
Iqbal Mamdani,x,x,x,x,x,x,√,x,1 out of 8
Abdul Samji,√,√,√,√,√,√,√,x,7 out of 8
Nizar Juma,√,√,√,√,x,√,√,x,6 out of 8
Mohamood Thobani,√,x,√,√,√,√,√,√,7 out of 8
Karim Kanji,√,√,√,x,x,x,√,x,4 out of 8
