Column,"Notional
Contract
Amount","Carrying value
assets","Carrying value
liabilities"
Group,Shs’000,Shs’000,Shs’000
,,"38,652
1,075",
,"14,167,601",,"53,533"
,"1,252,433",,5
,"15,420,034","39,727","53,538"
,,"504,554
1,605",
,"18,318,760",,"107,076"
,"3,423,315",,"1,692"
