Column,Kenya,Tanzania,Uganda,"Continuing
operations","Discontinued
operations
Burundi",Tot
At 31 December 2024,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’00
,,"5,807,017
1,636,523
382,935
452,299",,"32,165,844
9,946,919
15,682,474
1,516,508",,
,"22,351,209",,"4,007,618",,"309,900",
,"8,310,396",,-,,"67,438",
,"9,502,876",,"5,796,663",,-,
,"763,633",,"300,576",,"6,264",
,"40,928,114","8,278,774","10,104,857","59,311,745","383,602",
