2025,2024,2023,2022,2021
Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
,"28,098,109
11,698,994",,"22,887,097
8,622,283",
"34,882,781",,"27,574,589",,"19,992,573"
"10,534,362",,"11,435,245",,"6,194,779"
"45,417,143","39,797,103
18,471,977
(7,401,567)","39,009,834","31,509,380
16,236,170
(6,711,237)","26,187,352"
"22,615,180",,"18,604,316",,"14,138,702"
"(8,681,072)",,"(9,600,856)",,"(7,513,045)"
"13,934,108","11,070,410","9,003,460","9,524,933","6,625,657"
"9,407,239","7,642,442","6,879,176","6,061,017","3,908,411"
,"573,886,914",,"526,983,269",
"659,118,478",,"635,040,842",,"456,842,717"
"324,172,604","285,296,663
447,216,813
81,778,872
1,957,216","308,454,062","253,674,906
414,241,417
68,962,487
1,398,011","220,425,335"
"509,139,215",,"499,116,641",,"346,246,247"
"101,104,067",,"74,888,755",,"67,294,138"
"2,516,420",,"1,677,613",,"838,807"
,"27.33
27.33
7.00
7.00
63.8%
12.3%
1.5%
9.8%
29.4%
158
2,886
2,463,183",,"21.68
21.68
5.00
5.00
61.2%
11.4%
1.4%
8.9%
27.4%
134
2,534
679,537",
33.65,,24.60,,13.98
33.65,,24.60,,13.98
9.00,,6.00,,3.00
9.00,,6.00,,3.00
63.7%,,61.8%,,63.7%
10.8%,,13.0%,,12.3%
1.7%,,1.3%,,1.0%
10.3%,,9.6%,,6.0%
23.2%,,29.3%,,23.7%
157,,152,,129
"2,957",,"2,777",,"2,156"
"1,581,091",,"3,006,431",,"234,099"
,"16.6%
15.7%
17.3%",,"21.1%
19.8%
20.7%",
16.4%,,17.3%,,22.1%
15.5%,,16.3%,,19.9%
16.9%,,17.0%,,21.2%
