#,Board Member,Designation,"Meetings Attendance Record
(1 January 2019 to 31 December 2019)",Column,Column,Column,Column,Column,Column,Column,Column
,,,AGM,BACC,BCC,BEC,BITC,BNHRC,BOC,BRMC,Board
1,"Linus Gitahi
Last elected in May 2017",Chairman (Independent),1/1,1/2,1/2,2/2,2/2,-,-,-,4/4
2,"Shaffiq Dharamshi
Last elected in May 2018",Vice Chairman,1/1,-,2/2,-,2/2,2/2,4/4,4/4,4/4
3,Nasim Devji (Mrs.),Managing Director,1/1,-,-,-,-,-,-,4/4,4/4
4,Alkarim Jiwa,Finance Director,1/1,-,-,-,-,-,-,4/4,4/4
5,"Pamella Ager (Mrs.)
Last re-elected in May
2018","Non- Executive Director
(Independent)",1/1,4/4,4/4,2/2,-,4/4,-,-,4/4
6,"Guedi Ainache
Last re-elected in May
2017","Non- Executive Director
(Independent)",1/1,4/4,-,2/2,4/4,-,4/4,4/4,4/4
7,"Moez Jamal
Last re-elected in May
2019",Non- Executive Director,1/1,-,-,-,4/4,-,4/4,4/4,4/4
8,"Irfan Keshavjee
Last re-elected in May
2018","Non- Executive Director
(Independent)",1/1,4/4,4/4,2/2,4/4,-,-,-,4/4
9,"Ismail Mawji
Last re-elected in May
2017","Non- Executive Director
(Independent)",1/1,4/4,4/4,2/2,-,4/4,-,4/4,4/4
10,Sagheer Mufti*,Non- Executive Director,-,-,-,-,-,-,-,-,-
11,"Jamaludin Shamji
Last re-elected in May
2019",Non- Executive Director,1/1,-,4/4,2/2,4/4,4/4,4/4,-,4/4
12,Abdul Samji,"Retired at AGM of 23
May 2019",1/1,-,2/2,2/2,-,2/2,-,-,2/2
13,Rizwan Hyder,"Retired at AGM of 23
May 2019",0/1,-,-,-,-,-,-,0/2,0/2
