Column,"(2,430,660)","1,983,695","446,965",Column
,"(5,099,439)","4,562,880","536,559",
,"(284,424)","(9,629,140)","9,913,564",
,"87,280,033","22,023,030",-,
,"(82,287,423)","(33,443,173)","(22,435,325)",
,-,-,"(9,715,896)",
,"(3,812,208)","1,428,246","15,811,761",
Gross carrying amount as at 31 December 2024,"196,660,443","71,066,992","37,689,128","305,416,563"
Loss allowance as at 31 December 2024,"690,863","4,300,792","14,921,658","19,913,313"
Net carrying Amount as at 31 December 2024,"195,969,580","66,766,200","22,767,470","285,503,250"
