BANK,Column
"Sep. 2015 Jun. 2015 Mar. 2015 Dec. 2014 Sep. 2014
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",
"1,924,158
5,274,077
-
21,701,232
-
-
-
2,147,814
4,022,041
66,515
121,399,734
293,403
1
2,295,253
-
-
3,514,319
-
295,259
-
1,178,285
-
1,892,306","2,951,032 2,384,490 2,506,750 1,963,036
6,431,089 6,786,182 5,251,082 3,805,765
- - - -
23,527,633 24,063,583 22,725,437 22,165,234
- - - -
- - - -
- - - -
1,202,704 2,750,514 4,725,484 2,678,406
1,130,727 3,111,683 2,688,000 2,263,321
- - - 117,850
113,242,826 100,166,147 94,059,260 83,915,828
275,107 310,599 302,906 349,514
1 1 1 1
2,295,253 2,295,253 2,295,253 2,295,253
- - - -
- - - -
3,498,694 3,594,526 3,841,858 3,628,199
- - - -
325,685 350,613 339,303 329,552
- - - -
1,178,285 1,054,439 1,054,439 1,057,936
- - - -
1,971,075 1,693,316 1,386,021 1,704,908"
"166,004,397","158,030,111 148,561,346 141,175,794 126,274,802"
"-
108,761,502
3,108,218
1,918,309
-
21,169,471
-
-
-
-
-
2,430,185","- - - -
109,545,211 103,950,747 101,593,506 93,663,822
428,357 88,772 1,662,351 225,588
1,139,423 904,988 513,868 891,402
- - - -
16,723,261 13,729,307 9,310,392 4,662,812
- - - -
40,046 682,073 91,051 -
- - - -
- - - -
- - - -
2,617,240 2,323,409 2,220,212 2,008,276"
"137,387,685","130,493,538 121,679,296 115,391,380 101,451,899"
"968,440
7,294,767
367,703
19,985,802
-
-
-","968,440 968,440 968,440 968,440
7,294,767 7,294,767 7,294,767 7,295,075
367,703 367,703 367,703 373,194
18,905,663 17,670,076 16,572,440 16,186,194
- - - -
- 581,064 581,064 -
- - - -"
"28,616,712","27,536,573 26,882,050 25,784,414 24,822,904"
-,- - - -
"28,616,712","27,536,573 26,882,050 25,784,414 24,822,904"
"166,004,397","158,030,111 148,561,346 141,175,794 126,274,802"
