MANAGEMENT COMMITTEE,Column,Column
,Executive Committee,Members
1,Reporting: Board,"• Murali Natarajan, Chief Executive Officer and Managing Director (Chair)
• Alkarim Jiwa, Finance and Strategy Director (Deputy Chair)
• Stephen Kodumbe, Director, Legal and Company Secretary (Secretary)
• Raphael Onyango, Director, Corporate Banking and Institutional Banking
• George Otiende, Director, Retail Banking
• Dr. Kennedy Nyakomitta, Director, Commercial
• Suraj Shah, Director, Business Banking
• Vacant, Director, Treasury
• Constance Macharia, Director, Credit
• Lillian Ngala, Director, Human Resources
• Dancan Okun, Director, Risk
• Hilda Gituro, Director, Compliance Combatting Financial Crime and Internal Controls
• Azra Thobani, Head of Customer Experience
• James Mwangi, Chief Information and Digital Officer
• Agnes Kinga, Head of Marketing"
,"Roles and Responsibility:
Strategy planning, implementation, monitoring
and reporting; and capital allocation proposals on
material ventures, strategic projects and any other
new business lines.",
,Meets monthly.,
,Sustainability Committee (SUSCO),Members
2,Reporting: BSC,"• Murali Natarajan, Managing Director & CEO (Chairperson)
• Alkarim Jiwa, Finance and Strategy Director (Deputy Chairperson)
• Dancan Okun, Director, Risk
• Constance Macharia, Director, Credit
• Hilda Gituro, Director, Compliance, Combatting Financial Crime and Internal Controls
• Lillian Ngala, Director, Human Resources
• Joshua Tinda, Head of Procurement and Logistics
• William Amayo, Head of Branches
• Azmaira Thobani, Head of Sustainability and Communications"
,"Roles and Responsibility:
Implement the Sustainability & Citizenship Master
Plan and provides updates on each pillar.",
,Meets once every two months.,
,Asset Liability Committee (ALCO),Members
3,Reporting: BRMC,"• Murali Natarajan, Chief Executive Officer and Managing Director (Chair)
• Alkarim Jiwa, Finance and Strategy Director (Deputy Chair)
• Vacant - Director, Treasury
• George Otiende, Director, Retail Banking
• Raphael Onyango, Director, Corporate Banking and Institutional Banking
• Suraj Shah, Director, Business Banking
• Dr. Kennedy Nyakomitta, Director, Commercial
• Hilda Gituro, Director, Compliance, Combatting Financial Crime and Internal Controls
• Constance Macharia, Director, Credit
• Mustaq Dar, Head of Business Development Coast Region"
,"Roles and Responsibility:
Oversees the Group’s balance sheet development
and capital adequacy.",
,Meets monthly.,
