BANK,Column
"Sep. 2014 Jun. 2014 Mar. 2014 Sep. 2013
Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Unaudited",
"1,246,249
133,170","1,107,630 998,902 861,041
112,209 89,519 72,280"
"1,113,079
1,113,079","995,421 909,383 788,761
995,421 909,383 788,761"
-,- - -
-,- - -
-,- - -
"2,677,824
395,964","2,486,152 2,347,287 2,201,923
377,663 369,483 358,413"
"3,073,788","2,863,815 2,716,770 2,560,336"
"16,101,421
27,813,399
-","12,365,932 10,080,656 12,435,796
26,449,356 16,319,535 18,283,924
- - -"
"43,914,820","38,815,288 26,400,191 30,719,720"
,"16,208,267 15,544,595 12,915,614
1,000,000 1,000,000 1,000,000
15,208,267 14,544,595 11,915,614
2,878,083 3,015,264 3,134,573"
"20,228,489",
"1,000,000",
"19,228,489",
"2,947,150",
"23,175,638","19,086,350 18,559,859 16,050,187"
"117,744,288","112,638,545 106,718,261 84,379,539
19.0% 17.8% 16.3%
8.0% 8.0% 8.0%
11.0% 9.8% 8.3%
14.4% 14.6% 15.3%
8.0% 8.0% 8.0%
6.4% 6.6% 7.3%
16.9% 17.4% 19.0%
12.0% 12.0% 12.0%
4.9% 5.4% 7.0%
29.8% 32.1% 29.1%
20.0% 20.0% 20.0%
9.8% 12.1% 9.1%"
21.6%,
8.0%,
13.6%,
17.2%,
8.0%,
9.2%,
19.7%,
12.0%,
7.7%,
34.7%,
20.0%,
14.7%,
