Q1’25 Performance (KES billion),Column,Column,Column
,Q1 2025,Q1 2024,YOY
,38.2,27.1,41.0%
,178.6,183.0,-2.4%
,284.3,268.9,5.7%
,595.1,571.9,4.1%
,463.6,425.2,9.0%
,0.0,20.1,-100.0%
,16.2,15.2,7.0%
,2.4,18.5,-86.8%
,497.4,490.5,1.4%
,61.3%,63.3%,-200bps
,55.0%,54.6%,40bps
,12.9%,14.5%,-160bps
,18.5%,18.4%,10bps
