Column,Carrying value,Fair value,Column,Column,Column
Group,,Level 1,Level 2,tLevel 3,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,"-
33,828,736
-
-
-
-",,"78,327,382
-
33,010,186
1,031,164
324,172,604
3,302,783",
,"78,327,382",,-,,"78,327,382"
,"36,769,308",,-,,"33,828,736"
,"33,010,186",,-,,"33,010,186"
,"911,578",,-,,"1,031,164"
,"324,172,604",,-,,"324,172,604"
,"3,302,783",,-,,"3,302,783"
,"476,493,841","33,828,736",-,"439,844,119","473,672,855"
,,"-
-
-
-
-",,"509,139,215
21,035,624
1,505,015
4,484,552
7,082,267",
,"509,139,215",,-,,"509,139,215"
,"21,035,624",,-,,"21,035,624"
,"1,505,015",,-,,"1,505,015"
,"4,484,552",,-,,"4,484,552"
,"7,082,267",,-,,"7,082,267"
,"543,246,673",-,-,"543,246,673","543,246,673"
,,"-
56,824,770
-
-
-",,"45,959,773
-
30,812,392
285,296,663
2,156,502",
,"45,959,773",,-,,"45,959,773"
,"56,902,931",,-,,"56,824,770"
,"30,812,392",,-,,"30,812,392"
,"285,296,663",,-,,"285,296,663"
,"2,156,502",,-,,"2,156,502"
,"421,128,261","56,824,770",-,"364,225,330","421,050,100"
,,"-
-
-
-
-",,"447,216,813
17,143,157
3,667,451
4,759,731
6,177,471",
,"447,216,813",,-,,"447,216,813"
,"17,143,157",,-,,"17,143,157"
,"3,667,451",,-,,"3,667,451"
,"4,759,731",,-,,"4,759,731"
,"6,177,471",,-,,"6,177,471"
,"478,964,623",-,-,"478,964,623","478,964,623"
