Kenya,Tanzania,Uganda,Burundi,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"15,264,261","2,626,889","3,195,145","260,730","21,347,025"
"2,573,450","972,151","644,600","23,147","4,213,348"
"171,187","36,177","51,630","5,812","264,806"
"18,008,898","3,635,217","3,891,375","289,689","25,825,179"
"6,659,727","1,248,162","1,668,019","99,026","9,674,934"
"106,420","38,196","77,883",415,"222,914"
"6,766,147","1,286,358","1,745,902","99,441","9,897,848"
"11,242,751","2,348,859","2,145,473","190,248","15,927,331"
"1,417,709","651,589","655,193","49,392","2,773,883"
"1,060,551","397,440","300,527","4,578","1,763,096"
"146,048","1,116","10,807","2,979","160,950"
"2,624,308","1,050,145","966,527","56,949","4,697,929"
