DTB Bank Entity,Liquidity Ratio,Column,Minimum Requirement,Column
,2025,2024,Board,Regulatory
Kenya,54.8%,49.9%,30.0%,20.0%
Uganda,59.2%,57.8%,30.0%,20.0%
Tanzania,29.2%,31.4%,30.0%,20.0%
