Manufacturing,"Wholesale
and retail
trade","Transport and
communications","Business
and
financial
services",Agriculture,"Building and
construction
and real
estate","Retail
housing","Tourism
and hotels",Individuals,Others,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
-,-,-,"50,000",-,-,-,-,-,-,"50,000"
"18,164,400","28,009,845","17,818,155","32,509,153","9,428,306","46,371,441","1,051,712","30,130,835","8,701,604","186,741","192,372,192"
-,-,-,"8,389,828",-,-,-,-,-,-,"8,389,828"
-,-,-,-,-,-,-,-,-,"915,245","915,245"
"18,164,400","28,009,845","17,818,155","40,948,981","9,428,306","46,371,441","1,051,712","30,130,835","8,701,604","1,101,986","201,727,265"
"8,495,126","4,054,729","1,929,763","1,990,410","83,120","972,557",-,"455,702","23,379","948,604","18,953,391"
"724,692","775,353","256,660","3,286,478","52,941","1,845,761","163,800","119,477","409,636","261,520","7,896,318"
"9,219,818","4,830,082","2,186,423","5,276,888","136,061","2,818,318","163,800","575,179","433,015","1,210,124","26,849,709"
