"2013
Shs’000
14,154,675
2,374,025
650,361","2012
Shs’000
13,783,269
2,319,756
475,989","2013
Shs’000
9,975,556
2,053,099
95,781","2012
Shs’000
10,374,522
2,062,918
244,575"
"17,179,061","16,579,014","12,124,436","12,682,015"
"5,771,402
258,368","7,166,937
165,691","3,966,134
165,569","5,727,639
87,906"
"6,029,770","7,332,628","4,131,703","5,815,545"
"2,092,832
(59,764)","1,843,217
(51,258)","1,153,676
(42,290)","1,027,394
(41,674)"
"2,033,068","1,791,959","1,111,386","985,720"
"1,097
5,421
23,107
3,318
60,703","22,068
-
21,905
2,112
49,700","1,097
5,421
22,652
4,142
44,419","22,068
-
21,448
1,190
23,711"
"93,646","95,785","77,731","68,417"
"2,715,817
476,783
137,888
438,030
14,829","2,340,660
420,570
121,454
378,138
11,724","1,611,733
256,183
111,915
255,361
6,044","1,440,827
217,188
91,258
209,957
5,185"
"2,425,323
55,255
54
69,450
165,735","2,094,567
50,532
1,083
67,908
126,570","1,504,039
54,025
-
2,135
51,534","1,345,550
49,366
-
1,994
43,917"
"2,715,817","2,340,660","1,611,733","1,440,827"
