GRI Standard,Disclosure,Location,Page
,201-3 Defined benefit plan obligations and other retirement plans,Risk management,103
"GRI 203:
Indirect
Economic
Impacts 2016",203-1 Infrastructure investments and services supported,How we create value,29
,203-2 Significant indirect economic impacts,Financial review,23
,,How we create value,29
,,financial statements,103
"GRI 204:
Procurement
Practices 2016",204-1 Proportion of spending on local suppliers,Stakeholder engagement,63
"GRI 205:
Anti-corruption
2016",205-1 Operations assessed for risks related to corruption,Risk management,91
,"205-2 Communication and training about anti-corruption policies
and procedures",Human capital and culture,57
"GRI 207:
Tax 2019",207-1 Approach to tax,Stakeholder engagement,63
,"207-2 Tax governance, control, and risk management",How we are led,77
,,Risk management,91
,"207-3 Stakeholder engagement and management of concerns
related to tax",Stakeholder engagement,63
,207-4 Country-by-country reporting,Financial review,23
"GRI 301:
Materials 2016",301-2 Recycled input materials used,How we create value,29
"GRI 302:
Energy 2016",302-1 Energy consumption within the organization,How we create value,29
,302-2 Energy consumption outside of the organization,How we create value,29
,302-3 Energy intensity,How we create value,29
,302-4 Reduction of energy consumption,How we create value,29
,302-5 Reductions in energy requirements of products and services,How we create value,29
"GRI 303:
Water and
Effluents 2018",303-1 Interactions with water as a shared resource,How we create value,29
,303-2 Management of water discharge-related impacts,How we create value,29
,303-3 Water withdrawal,How we create value,29
,303-4 Water discharge,How we create value,29
,303-5 Water consumption,How we create value,29
"GRI 304:
Biodiversity
2016","304-2 Significant impacts of activities, products and services on
biodiversity",How we create value,29
"GRI 305:
Emissions 2016",305-1 Direct (Scope 1) GHG emissions,How we create value,29
,305-2 Energy indirect (Scope 2) GHG emissions,How we create value,29
,305-3 Other indirect (Scope 3) GHG emissions,How we create value,29
,305-4 GHG emissions intensity,How we create value,29
,305-5 Reduction of GHG emissions,How we create value,29
