GROUP,Column,BANK,Column
"Sep. 2016 Jun. 2016 Mar. 2016 Dec. 2015 Sep. 2015
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",,"Sep. 2016 Jun. 2016 Mar. 2016 Dec. 2015 Sep. 2015
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",
"1 8,388,315
6 ,846,180
264,577
-","12,329,511 6,199,905 21,347,025 15,229,831
4,175,876 1,864,315 4,213,348 2,961,603
224,414 127,348 264,806 196,104
- - - -","13,445,026
5,152,144
180,562
5,115","8,967,109 4,481,683 15,264,261 10,829,407
3,087,658 1,327,853 2,573,450 1,779,471
171,861 103,515 186,779 143,453
3,632 1,857 8,687 6,598"
"2 5,499,072","1 6,729,801 8,191,568 2 5,825,179 1 8,387,538","1 8,782,847","1 2,230,260 5,914,908 1 8,033,177 1 2,758,929"
"9 ,744,129
328,688
739,948","6,478,444 3,268,853 9,674,934 6,835,756
211,050 100,807 222,914 173,815
472,244 244,452 737,124 515,431","7,324,211
240,970
641,650","4,824,116 2,423,834 6,674,287 4,631,482
150,904 64,526 122,012 157,234
407,273 207,570 579,686 330,242"
"1 0,812,765","7 ,161,738 3,614,112 1 0,634,972 7 ,525,002","8 ,206,831","5 ,382,293 2,695,930 7 ,375,985 5 ,118,958"
"1 4,686,307","9 ,568,063 4,577,456 1 5,190,207 1 0,862,536","1 0,576,016","6 ,847,967 3,218,978 1 0,657,192 7 ,639,971"
"765,294
1 ,456,289
1 ,283,574
-
205,606","536,879 269,032 993,053 714,291
976,294 482,898 1,780,830 1,262,599
895,683 389,714 1,763,096 1,272,820
- - - -
100,648 38,868 188,847 129,060","501,818
660,389
926,502
58,076
100,054","347,938 169,769 598,773 435,652
448,849 210,506 818,936 552,880
657,106 267,480 1,060,551 707,580
58,076 - 33,300 33,300
59,041 17,381 108,079 65,679"
"3 ,710,763","2 ,509,504 1,180,512 4 ,725,826 3 ,378,770","2 ,246,839","1 ,571,010 665,136 2 ,619,639 1 ,795,091"
"1 8,397,070","1 2,077,567 5,757,968 1 9,916,033 1 4,241,306","12,822,855","8,418,977 3,884,114 1 3,276,831 9 ,435,062"
"3 ,601,159
2 ,751,081
85,591
489,857
646,344
192,173
2 ,823,457","2 ,190,674 886,405 2 ,178,175 1 ,324,577
1 ,779,367 959,984 3 ,261,135 2 ,390,481
57,903 27,408 98,882 71,061
315,192 165,065 542,940 395,090
418,292 204,736 772,335 573,612
123,085 60,058 213,844 164,494
1 ,936,277 983,358 3 ,282,087 2 ,415,724","2 ,694,774
1,657,032
49,446
228,063
387,138
125,889
1,470,200","1 ,496,281 631,861 1 ,556,902 926,986
1 ,055,029 583,256 1 ,974,328 1 ,394,303
32,950 14,822 56,257 41,234
143,765 78,914 261,308 197,527
248,793 121,809 465,384 346,890
81,326 40,293 142,659 111,295
1 ,044,698 535,537 1 ,765,186 1 ,397,181"
"1 0,589,662","6 ,820,790 3,287,014 1 0,349,398 7 ,335,039","6 ,612,542","4 ,102,842 2,006,492 6 ,222,024 4 ,415,416"
"7 ,807,408
-","5 ,256,777 2,470,954 9 ,566,635 6 ,906,267
- - - -","6,210,313
-","4 ,316,135 1,877,622 7 ,054,807 5 ,019,646
- - - -"
"7 ,807,408
4,716","5 ,256,777 2,470,954 9 ,566,635 6 ,906,267
3,158 2,700 (1,443) 4,768","6 ,210,313
-","4 ,316,135 1,877,622 7 ,054,807 5 ,019,646
- - - -"
"7 ,812,124
(2,921,915)
428,726","5 ,259,935 2,473,654 9 ,565,192 6 ,911,035
(2,066,792) (865,182) (3,470,859) (2,257,201)
428,726 - 505,473 114,717","6 ,210,313
(2,441,800)
428,726","4 ,316,135 1,877,622 7 ,054,807 5 ,019,646
(1,776,671) (657,168) (2,637,978) (1,730,132)
428,726 - 376,022 123,845"
"5 ,318,935","3 ,621,869 1,608,472 6 ,599,806 4 ,768,551","4,197,239","2,968,190 1,220,454 4 ,792,851 3 ,413,359"
"404,152","244,411 134,961 687,724 537,521",-,- - - -
"4 ,914,783","3 ,377,458 1,473,511 5 ,912,082 4 ,231,030","4,197,239","2,968,190 1,220,454 4,792,851 3 ,413,359"
"(559,474)
-
-
-
-","(417,559) (461,607) (163,375) (676,658)
- - - -
- - - -
- - - -
- - - -","-
-
-
-
-","- - - -
- - - -
- - - -
- - - -
- - - -"
"(559,474)","(417,559) (461,607) (163,375) (676,658)",-,- - - -
"4 ,759,461","3 ,204,310 1,146,865 6 ,436,431 4 ,091,893","4,197,239","2,968,190 1,220,454 4 ,792,851 3 ,413,359"
"18.45
-","12.68 5.53 22.20 15.89
- - 2.50 -","15.76
-","11.15 4.58 18.00 12.82
- - 2.50 -"
