"Mandatorily at
FVTPL","Designated
at FVTPL","Investment
at FVTOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"27,218,903","27,218,903"
-,"615,493","11,026,984","119,283,094","130,925,571"
-,-,-,"8,320,531","8,320,531"
-,-,-,"199,089,371","199,089,371"
-,-,-,"18,029","18,029"
-,-,"1,518,389",-,"1,518,389"
-,-,-,"1,376,772","1,376,772"
-,"615,493","12,545,373","355,306,700","368,467,566"
-,-,-,"280,186,953","280,186,953"
-,-,-,"22,453,859","22,453,859"
-,-,-,"2,912,805","2,912,805"
-,-,-,"11,356,847","11,356,847"
-,-,-,"4,237,765","4,237,765"
-,-,-,"321,148,229","321,148,229"
-,-,-,"37,716,947","37,716,947"
-,"505,173","6,751,201","108,232,978","115,489,352"
-,-,-,"14,162,442","14,162,442"
-,-,-,"193,074,357","193,074,357"
-,-,-,"43,359","43,359"
-,-,"1,797,617",-,"1,797,617"
-,-,-,"1,666,262","1,666,262"
-,"505,173","8,548,818","354,896,345","363,950,336"
-,-,-,"282,860,003","282,860,003"
-,-,-,"17,143,207","17,143,207"
-,-,-,"3,404,209","3,404,209"
-,-,-,"14,693,994","14,693,994"
-,-,-,"318,101,413","318,101,413"
