"779,455","1,375,168",-,-
"42,874","40,138",-,-
"(215,067)","(596,809)",-,-
"59,196","(39,042)",-,-
"666,458","779,455",-,-
"2,608,500","2,591,356","2,608,500","2,591,356"
"160,558","189,233","160,558","189,233"
"(178,896)","(157,374)","(178,896)","(157,374)"
"197,835","(14,715)","197,835","(14,715)"
"2,787,997","2,608,500","2,787,997","2,608,500"
"4,815,878","5,846,832","4,038,795","4,757,321"
-,-,-,-
"5,067,500",-,"5,067,500",-
"40,133",-,"40,133",-
-,-,-,-
"392,146",-,"392,146",-
"5,499,779",-,"5,499,779",-
"2,066,400","2,832,471","2,066,400","1,561,771"
"1,013,500","1,019,500","1,013,500","1,019,500"
"102,438","77,804","102,438","96,653"
"(842,813)","(1,869,144)","(842,813)","(597,256)"
"203,985","5,769","203,985","(14,268)"
"2,543,510","2,066,400","2,543,510","2,066,400"
