BANK,Column
"Sep. 2018 Jun. 2018 Mar. 2018 Dec. 2017 Sep. 2017
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Audited Unaudited Unaudited",
"13,705,220
2,282,607","13,012,645 12,759,926 11,901,308 10,116,734
2,126,579 1,969,137 1,303,560 1,610,524"
"11,422,613
8,549,043","10,886,066 10,790,789 10,597,748 8,506,210
7,518,183 7,146,167 7,023,575 5,613,842"
"2,873,570","3,367,883 3,644,622 3,574,173 2,892,368"
"2,873,570","3,367,883 3,644,622 3,574,173 2,892,368"
-,- - - -
"2,456,705
1,322,246","2,591,330 2,651,439 2,616,943 2,735,622
1,313,032 1,316,341 1,273,982 1,278,175"
"3,778,951","3,904,362 3,967,780 3,890,925 4,013,797"
"24,001,408
7,929,833
-","22,818,893 25,289,617 27,478,167 25,894,249
29,296,861 17,542,508 4,235,970 21,888,406
- - - -"
"31,931,241","52,115,754 42,832,125 31,714,137 47,782,655"
,"36,195,432 35,959,980 35,343,676 33,551,583
1,000,000 1,000,000 1,000,000 1,000,000"
"37,038,561",
"1,000,000",
"36,038,561","35,195,432 34,959,980 34,343,676 32,551,583"
"2,758,524","2,759,868 3,332,511 3,446,708 3,791,731
38,955,300 39,292,491 38,790,384 37,343,314"
"39,797,085",
"208,552,137","208,568,679 205,359,844 204,038,636 203,220,804"
18.0%,"17.5% 18.2% 18.5% 17.5%
8.0% 8.0% 8.0% 8.0%"
8.0%,
10.0%,9.5% 10.2% 10.5% 9.5%
17.8%,"17.4% 17.5% 17.3% 16.5%
10.5% 10.5% 10.5% 10.5%"
10.5%,
7.3%,6.9% 7.0% 6.8% 6.0%
19.1%,"18.7% 19.1% 19.0% 18.4%
14.5% 14.5% 14.5% 14.5%"
14.5%,
4.6%,4.2% 4.6% 4.5% 3.9%
19.3%,"18.9% 19.9% - -
18.5% 19.1% - -
19.8% 20.7% - -
51.1% 51.5% 49.9% 51.2%
20.0% 20.0% 20.0% 20.0%"
18.8%,
20.1%,
51.9%,
20.0%,
31.9%,31.1% 31.5% 29.9% 31.2%
